label,text
digestive system diseases,"Delayed subcapsular hematoma after percutaneous liver biopsy as a manifestation of warfarin toxicity. Guidelines for the management of patients receiving chronic anticoagulation therapy who require liver biopsy are not clearly defined. In patients with normal coagulation, liver biopsy is a relatively safe procedure with a morbidity of less than 0.1% and a mortality of less than 0.01%. We report a patient with a prosthetic aortic valve who developed a large subcapsular hematoma 12 days after a percutaneous liver biopsy as a consequence of warfarin toxicity. Based on the experience with this patient, reinstitution of anticoagulant therapy should be avoided for at least 72 h after a percutaneous liver biopsy. Intravenous heparin should be resumed first, and warfarin added if no bleeding has occurred after an additional 48-72 h. The prothrombin time should be maintained at 1.5 times the baseline. "
digestive system diseases,"Prospective randomized study on the effect of ranitidine against injection ulcer after endoscopic injection sclerotherapy for esophageal varices. Thirty-five consecutive patients undergoing endoscopic injection sclerotherapy for esophageal varices were randomly allocated to either ranitidine-administered group (18 patients) or ranitidine-nonadministered group (17 patients), in an attempt to evaluate the efficacy of ranitidine for prevention and healing of postinjection ulcer with a prospective randomized trial. Two of seventeen patients in the nonadministered group dropped out of this trial because of development of gastric ulcer, so 18 patients in the first group were evaluated and compared with the 15 remaining patients in the second group. Sclerotherapy was performed with 5% ethanolamine oleate and 0.6% polydocanol; the mean number of injection courses and the mean amount of sclerosant were the same in both groups. Moreover, there was no significant difference between the two groups in either the occurrence rate or the size of injection ulcer 1 wk after the last session. However, the persistence rate of ulcer 1 month after last injection in the ranitidine-administered group was significantly lower than that in the ranitidine-nonadministered group (6.3% vs. 38.5%, p less than 0.05). Our study demonstrated that ranitidine administration will help to hasten healing of postinjection ulcer, although it was not effective for prevention of injection ulcer. "
digestive system diseases,"Pearson's marrow-pancreas syndrome. A multisystem mitochondrial disorder in infancy. Pearson's marrow-pancreas syndrome (McKusick No. 26056) is a fatal disorder of hitherto unknown etiology involving the hematopoietic system, exocrine pancreas, liver, and kidneys. The observation of high lactate/pyruvate molar ratios in plasma and abnormal oxidative phosphorylation in lymphocytes led us to postulate that Pearson's syndrome belongs to the group of mitochondrial cytopathies. Since rearrangements of the mitochondrial genome between direct DNA repeats were consistently found in all tissues tested, our results show that this disease is in fact a multisystem mitochondrial disorder, as suggested by the clinical course of the patients. Based on these observations, we would suggest giving consideration to the hypothesis of a defect of oxidative phosphorylation in elucidating the origin of other syndromes, especially those associated with an abnormal oxidoreduction status in plasma. "
digestive system diseases,"Comprehensive management of acute necrotizing pancreatitis and pancreatic abscess. Achieving reduced mortality rates in patients with necrotizing pancreatitis and pancreatic abscess is possible by employing a comprehensive management plan. Components of the plan include (1) rapid evaluation and assessment of the degree of physiologic and anatomic derangement, the latter by the prompt use of vascular enhanced computed tomographic scan; (2) adequate fluid resuscitation determined by early institution of advanced hemodynamic monitoring; (3) attempts to identify and document septic foci via computed tomography-guided percutaneous aspiration; and (4) aggressive surgical debridement. Close adherence to these policies allowed us to keep mortality in this seriously ill group of patients to 14%. Most deaths occurred in patients who were referred to this service late in the course of their disease. The Acute Physiology and Chronic Health Enquiry (APACHE) II severity of illness index applied at the time of admission proved an accurate predictor of mortality. A score of 25 or greater was highly predictive of death, and a lesser score, of survival. "
digestive system diseases,"Preventing colorectal cancer. Knowledgeable patients should not die of colorectal cancer. Increasing the intake of dietary fiber, decreasing fat consumption, and increasing the use of modern technology to detect adenomatous polyps and early cancer can greatly decrease the mortality associated with colorectal cancer. "
digestive system diseases,"Ondansetron: a new entity in emesis control. Nausea and vomiting are serious problems for patients receiving cancer chemotherapy. Dopamine receptor and cholinergic receptor antagonism have been the target mechanism for agents used to combat drug-induced nausea and vomiting; more recently, blockade of serotonin receptors has been used for this indication. Current therapies are limited by extrapyramidal adverse effects, as well as drowsiness, sedation, respiratory depression, and cardiac effects. Ondansetron is an investigational serotonin antagonist that has documented effectiveness for cancer chemotherapy-induced emesis. Ondansetron appears to be well tolerated, with the possible exception of headaches and transient increases in liver enzymes. No extrapyramidal toxicities have been reported with this agent. While ondansetron looks promising, further studies are needed to fully define its role as an antiemetic. "
digestive system diseases,"Acalculus lymphoeosinophilic cholecystitis associated with interleukin-2 and lymphokine-activated killer cell therapy. A case of unusual cholecystitis that developed on completion of interleukin-2 and lymphokine-activated killer cell therapy is described. A 62-year-old man was treated with interleukin-2 and lymphokine-activated killer cells for disseminated renal cell carcinoma. During the course of the immunotherapy, his serum alkaline phosphatase level increased, as did the peripheral eosinophil count (0.31). Subsequently, clinical and radiologic evidence of acute cholecystitis was noted. The removed gallbladder showed acalculus cholecystitis with extensive diffuse infiltrates of numerous eosinophils and T lymphocytes, but sparse polymorphonuclear leukocytes. The authors name this unusual cholecystitis acalculus lymphoeosinophilic cholecystitis and believe it to be associated with interleukin-2 and lymphokine-activated killer cell therapy. The pathogenic relationship is discussed. "
digestive system diseases,"Epidermolysis bullosa acquisita and associated symptomatic esophageal webs. Epidermolysis bullosa acquisita (EBA) is a well-characterized, subepidermal blistering disorder associated with autoimmunity to type VII collagen, which is the collagen localized to anchoring fibrils within the dermoepidermal junction of skin. Although the full clinical spectrum of EBA is still being defined, it is known that the clinical features of EBA may be reminiscent of hereditary dystrophic epidermolysis bullosa, a scarring blistering disease of children that is commonly associated with esophageal stenosis. We describe a patient with EBA who had both an acral-predominant mechanobullous disease akin to dystrophic epidermolysis bullosa and an inflammatory, widespread bullous eruption reminiscent of bullous pemphigoid in association with esophageal webs and dysphagia. Although esophageal involvement is common in dystrophic epidermolysis bullosa, a review of the literature shows that this is the first bonafide case of EBA with symptomatic esophageal disease. "
digestive system diseases,"Evidence for the targeting by 2-oxo-dehydrogenase enzymes in the T cell response of primary biliary cirrhosis. Primary biliary cirrhosis (PBC) is a chronic autoimmune liver disease that includes the presence of lymphoid infiltrates in portal tracts, high titer autoantibodies against pyruvate dehydrogenase-E2 (PDH-E2) and branched chain ketoacid dehydrogenase-E2 (BCKD-E2), and biliary tract destruction. The mechanism by which the autoimmune response is induced, the specificity of damage to the biliary epithelium, and the role of T cells in PBC are still unknown. To address these issues, we have taken advantage of a mouse mAb, coined C355.1, and studied its reactivity against a panel of liver tissue from normal subjects as well as a panel of liver specimens from patients with PBC, progressive sclerosing cholangitis, and chronic active hepatitis (CAH). C355.1, much like human autoantibodies to PDH-E2, reacts exclusively by immunoblotting with PDH-E2, binds to the inner lipoyl domain of the protein, and inhibits PDH-E2 activity in vitro. In addition, we have also attempted to develop cloned T cell lines that react with PDH-E2 and/or BCKD-E2 using liver biopsies from patients with PBC, compared with CAH. Although monoclonal C355.1 produced typical mitochondrial fluorescence on sections of normal liver, pancreas, lung, heart, thyroid, and kidney, it produced a distinct and intense reactivity when used to stain the bile ducts of patients with PBC. Nine of 13 PBC liver biopsies studied herein contained bile ducts on light microscopy, all of which reacted intensely at a 1:100 culture supernatant dilution of monoclonal C355.1. In contrast, although bile ducts of liver specimens from normals, CAH, and progressive sclerosing cholangitis also reacted with C355.1, such reactivity was exclusively mitochondrial and readily detectable only at a dilution of 1:2. More importantly, we generated CD4+, CD8-, alpha beta TCR+ cloned T cell lines from patients with PBC, but not from CAH, that produced IL-2 specifically in response to PDH-E2 or BCKD-E2. "
digestive system diseases,"A study of HTLV-I and its associated risk factors in Trinidad and Tobago. Seroprevalence of human T-lymphotropic virus type 1 (HTLV-I) among a sample of persons selected from a government register of businesses in Trinidad was 3.2% in 1,025 persons of African descent compared to 0.2% among 487 persons of Asian descent and 0% among 46 persons of European-descent. In Tobago, from a coastal village, among persons of African ancestry ascertained as part of a cardiovascular survey, the rate was 11.4%, which was significantly higher when corrected for age and race than the rate in Trinidad. The seroprevalence rate of antibodies to hepatitis A and B was also significantly elevated in Tobago compared to Trinidad. HTLV-I seroprevalence rates were higher in females than males while hepatitis A and B rates were not significantly different in the two sexes. For males, age was a significant determinant of HTLV-I seropositivity, while for females, age, markers of poor sanitation, and hepatitis B were each independently linked to HTLV-I seropositivity. The frequent occurrence of multiple infectious exposures in persons of lower socioeconomic circumstances in this tropical environment may result in immune activation that heightens susceptibility to HTLV-I infection. "
general pathological conditions,"Effects of acute ethanol ingestion and burn injury on serum immunoglobulin. Previous studies have found that acute ethanol ingestion before burn injury caused further impairment of mitogenic response of B lymphocytes compared with burn injury alone. The principal role of B lymphocytes is immunoglobulin production. This study was designed to determine the effect of acute ethanol ingestion on circulating immunoglobulin levels before injury. Serum concentrations of IgG, IgM, and IgA in rats were measured with the use of radial immunodiffusion plates at 4 days after a 30% burn injury in animals that had received a single ingestion of 3.0 ml ethanol per kilogram of body weight. The immunoglobulin levels were compared with appropriate controls. A 30% burn injury produced significant decreases in serum IgG and IgA levels but not in IgM levels, whereas acute ethanol ingestion only decreased IgA levels. Acute ethanol ingestion before injury did not induce any further significant decrease than did burn injury alone. "
general pathological conditions,"Early facial reanimation following radical parotid and temporal bone tumor resections. A retrospective study of 35 patients who underwent early facial reanimation following extirpative parotid and temporal bone surgery requiring facial nerve sacrifice was performed. Regional facial reanimation performed immediately or within several days included 16 patients who underwent temporalis muscle transposition and 27 who underwent gold weight or eyespring lid reanimation with lower lid tightening. Simultaneous nerve grafts or nerve crossover procedures were performed in 22 patients. The authors' favored approaches to facial reanimation are discussed, with an emphasis on the value of early reanimation using properly selected techniques. "
general pathological conditions,"Molecular analysis of acute promyelocytic leukemia breakpoint cluster region on chromosome 17. Acute promyelocytic leukemia (APL; FAB M3) is characterized by a predominance of malignant promyelocytes that carry a reciprocal translocation between the long arms of chromosomes 15 and 17, t(15;17) (q22;q11.2-q12). This translocation has become diagnostic for APL, as it is present in almost 100 percent of cases. A Not I linking clone was used to detect this translocation initially on pulsed-field gel electrophoresis and subsequently with conventional Southern (DNA) analysis. The breakpoints in ten APL cases examined were shown to cluster in a 12-kb region of chromosome 17, containing two CpG-rich islands. The region is the first intron of the retinoic acid receptor alpha gene (RARA). "
general pathological conditions,"Etiology of acute lower respiratory tract infection in children from Alabang, Metro Manila. The etiology of acute lower respiratory tract infection (ALRI) was identified in 235 (43.8%) of 537 hospitalized children less than 5 years of age. Clinical evidence of measles was found in 258 (48.0%) patients, of whom 59 had a second viral infection. A viral agent was identified in an additional 121 patients, so that a total of 379 (70.6%) had viral infections. After measles, respiratory syncytial virus was the most common respiratory virus. Bacteremia was noted in 72 children (13.4%), occurring as frequently in children with measles (14.8%) as in those without (12.1%); Haemophilus influenzae and Salmonella typhi were predominant in the former, and H. influenzae, Staphylococcus aureus, and Streptococcus pneumoniae were prominent in the latter. The presence of bacterial antigen in urine was not helpful in identifying bacterial infection. Extrapulmonary and intrapleural complications, concomitant measles, complicated ALRI, female gender, and malnutrition were associated with increased mortality among children with ALRI. The importance of measles immunization, vitamin A supplementation for alleviation of defects associated with malnutrition, and timely antimicrobial therapy is emphasized. "
general pathological conditions,"Radiotherapy alone versus combined chemotherapy and radiotherapy in nonresectable non-small-cell lung cancer: first analysis of a randomized trial in 353 patients. We report the results observed in a large, randomized study that compared the effects of radiotherapy alone (the standard therapy) with those of a combination of radiotherapy and chemotherapy in nonresectable squamous cell and large-cell lung carcinoma. The radiation dose was 65 Gy in each group, and chemotherapy included vindesine, cyclophosphamide, cisplatin, and lomustine. In this study, 177 patients received radiotherapy alone (group A), and 176 patients received the combined treatment (group B). The 2-year survival rate was 14% in group A and 21% in group B (P = .08). The distant metastasis rate was significantly lower in group B (P less than .001). Local control was poor in both groups (17% and 15%, respectively) and remained the major problem. "
general pathological conditions,"The effect of alcohol in isolated blunt splenic trauma. The effect of alcohol on trauma patients is controversial, with numerous authors citing no difference in mortality in acutely intoxicated patients. The purpose of our study was to retrospectively investigate the effect of alcohol in adult patients with isolated blunt splenic injury. From 1980 through 1989, 47 adult patients with splenic trauma as the only major injury were admitted to the Trauma Service. There were 37 males and ten females with a mean age of 29 years (range, 15 to 61). Motor vehicle accidents were responsible for 44 (94%) of the injuries. Group 1 consisted of 24 patients with a mean blood alcohol level of 185 mg/dl (range, 15 to 380). In Group 2 there were 23 patients without detectable blood alcohol. There were no statistically significant differences between the two groups in age, Abbreviated Injury Severity Score, initial hematocrit, and grade of splenic injury. Hypotension was present in 13 patients (55%) in Group 1 versus six patients (26%) in Group 2 (p less than 0.05). Significant abnormalities in clotting studies were present on admission in six patients (25%) in the alcohol-detected group versus one in the other group (p less than 0.05). Blood transfusion requirements in the first 24 hours were significantly greater in Group 1 (mean, 3.9 units) versus Group 2 (mean, 0.5 units) (p less than 0.001). If alcohol was present, there was much less chance for splenic conservation, as 18 patients (75%) underwent splenectomy versus seven patients (30%) in the nonalcohol group (p less than 0.05). There was one death and this occurred in a patient acutely intoxicated who suffered a cerebral infarct. "
general pathological conditions,"Metaplastic change in mesenchymal stem cells induced by activated ras oncogene. 3T3 T murine mesenchymal stem cells have the potential to differentiate into a variety of different cell types even though they show a predilection to undergo adipocyte differentiation in vitro. The possibility that the activated c-Ha-ras (EJras) oncogene might influence the pathway of differentiation of these stem cells is investigated in the current study. Activated ras oncogene was transfected and stably expressed in 3T3 T cells; assays then were performed to determine its effect on differentiation. The results show that all EJras-transfected cell lines lose their ability to differentiate to adipocytes and instead differentiate into cells that express many characteristics of macrophages. Such cells contain numerous cytoplasmic granules, extensive nonspecific esterase activity, and anchorage-independent growth. The modulation of differentiation pathway from an adipocyte lineage to a macrophagelike cell lineage does not result from the transforming effect of EJras, because a nontransformed cell clone that expresses p21EJras protein also exhibits this modified differentiation pathway. These data suggest that the EJras oncogene specifically modulates the differentiation pathway of 3T3 T mesenchymal stem cells. This experimental system should therefore provide an excellent model to evaluate the mechanistic role of EJras in the process of metaplasia. "
general pathological conditions,"Touch and surgical division of the anterior quadrant of the spinal cord. An investigation was carried out to determine whether tactile sensibility was affected by anterolateral cordotomy. There were 65 patients who had cordotomies for painful forms of cancer. Thirty eight had necropsy examination with histological investigation of the spinal cord. No form of mechanoreception was removed in any of the 65 patients and in the majority no forms of tactile sensibility were altered by division of the pathways in the anterolateral and anterior columns. In no case was graphaesthesia affected. Knowledge of joint position and movement and awareness of vibration was normal in 62 of the 65 patients. But information carried by these anterolateral pathways does reach neural levels of consciousness, for with total lesions of the posterior columns, previously reported, touch and pressure are still felt. Itch was removed by division of the anterolateral pathways. Although the posterior columns are essential for discrimination in mechanoreception, discrimination may be disturbed by lesions of the anterolateral pathways, notably two-point discrimination. The evidence on the pathways essential for conveying impulses giving rise to tickle was inconclusive. "
general pathological conditions,"Alcohol-dependent unilateral vestibular impairment persisting after a closed head injury. A 20-year-old man suffered a closed head injury followed by symptoms of right-sided labyrinthine concussion with complete clinical recovery within 3 weeks. Episodic vertigo and ataxic gait occurred after the ingestion of small amounts of alcohol over the next 2 years. Electro-oculography revealed a right-sided peripheral type vestibular lesion, only after taking alcohol. This was interpreted as an alcohol-induced impairment of central compensation following an incomplete recovery from right-sided labyrinthine trauma. "
general pathological conditions,"Obstructive jaundice: use of expandable metal endoprosthesis for biliary drainage. Work in progress. Expandable metal endoprostheses were implanted transhepatically in 61 patients with obstructive jaundice. Fifty-three patients had malignant and eight had benign obstructions. Because of the small diameter of the compressed stent (7 F), primary implantation of the stent without a previous catheter drainage was preferred. Postprocedural complications occurred in three patients (5%) (biliary pleuritis, peritonitis, hepatic artery aneurysm). The 30-day mortality rate was 8.2%. Reocclusions were observed in six of the patients with malignant obstructions (11%) (observation period, 1-10 months; mean, 4.5 months) and in two of the patients with benign stenoses (25%) (observation period, 3-21 months; mean, 9 months). The higher reocclusion rate of benign obstructions must be interpreted with care because of the small number of patients. From their preliminary experience, the authors conclude that expandable metal endoprostheses offer patency rates equal to those of plastic stents. The implantation trauma is reduced due to the small 7-F introducing catheter system. "
neoplasms,"Nutritional approach to cancer prevention with emphasis on vitamins, antioxidants, and carotenoids. The main human cancers are associated with complex life-style related causative, enhancing, and inhibiting factors. Tobacco smoking or chewing exposes humans to genotoxic carcinogens and to promoting substances. Likewise, Western dietary traditions involve certain carcinogens and promoters, whereas Oriental traditions implicate other carcinogens and promoters. Importantly, in virtually all situations regular intake of fruits and vegetables appreciably lowers the risk of cancer. This paper reviews the causes of the main human cancers and analyzes the mechanisms of the protective effects of fruits and vegetables. Prevention of human cancer requires the definition of optimal levels of recommended daily allowances of micronutrients. "
neoplasms,Haemangiosarcoma of the maxillary antrum. Angiosarcomas are extremely rare in the head and neck and the histological diagnosis is often difficult. We present a case of a haemangiosarcoma of the maxillary antrum in a 33 year old male. The histological diagnosis and subsequent management are discussed. 
neoplasms,"Disposable attachments in cryosurgery: a useful adjunct in the treatment of HIV-associated neoplasms. During cryosurgery of different types of lesions in patients with human immunodeficiency virus infection, it is crucial that the possibility of secondary bacterial infection be reduced. The use of disposable attachments during cryosurgery can reduce this risk of transmission of infectious agents. These attachments are discussed. "
neoplasms,"Flow cytometric DNA content of adenoid cystic carcinoma of submandibular gland. Correlation of histologic features and prognosis. Flow cytometric analysis of nuclear DNA content was performed in 26 adenoid cystic carcinomas of the submandibular gland using archived, paraffin-embedded tissues. The DNA content was compared with multiple histologic parameters and clinical course. Ten carcinomas (38%) were aneuploid and 16 (62%) diploid. Aneuploid carcinomas demonstrated a higher frequency of solid cytoarchitecture, lymph node metastases, and advanced clinical stage, as compared with diploid carcinomas. Other histologic features predicting aggressive clinical behavior also correlated with abnormal DNA content and included invasion of nerves larger than 0.25 mm and intravascular extension. Our data suggest that DNA content analysis can be an effective objective parameter in the clinicopathologic assessment of adenoid cystic carcinoma. "
